date,stars,forks,watchers,open_issues,size_kb
2026-01-09,22,2,14,26,638
2026-01-11,22,2,14,26,642
2026-01-18,22,2,14,26,643
2026-01-25,22,2,14,26,644
2026-02-01,22,2,14,26,645
2026-02-08,22,2,14,25,646
2026-02-15,22,2,14,25,647
2026-02-22,22,2,14,26,663
2026-03-01,22,2,14,26,664
2026-03-08,22,2,14,26,665
2026-03-15,22,2,14,26,666
2026-03-22,22,2,14,26,667
2026-03-29,22,2,14,26,668
2026-04-03,22,2,14,28,669
2026-04-05,22,2,14,32,678
2026-04-12,22,2,14,31,680
2026-04-19,22,2,14,31,681
2026-04-26,22,2,14,31,684
2026-05-04,22,2,14,28,691
2026-05-11,22,2,14,30,721
2026-05-18,22,2,14,27,679
2026-05-25,23,2,14,27,684
2026-06-01,23,2,14,27,686
2026-06-08,24,2,14,27,687
2026-06-15,24,2,14,27,688
2026-06-22,24,2,14,27,689
2026-06-29,24,2,14,27,693
2026-07-06,24,2,14,27,694
2026-07-13,24,2,14,27,695
2026-07-27,25,2,14,26,697
2026-08-03,26,2,14,27,712
2026-08-09,26,2,14,25,721
2026-08-16,26,2,14,25,722
2026-08-23,26,2,14,25,723
